condition_evolved	condition_measurement	isolate	population	day	genotyped_mutated_gene	genotyped_mutated_site	doubling_time
HU	YNB	P8_A1	F12_1_HU_1	32	unknown	unknown	NA
HU	YNB	P8_A1	F12_1_HU_1	32	unknown	unknown	NA
HU	YNB	P9_A1	F12_1_HU_2	32	unknown	unknown	1.3771519551425
HU	YNB	P9_A1	F12_1_HU_2	32	unknown	unknown	1.3872482952169
HU	YNB	P8_A2	F12_1_HU_1	32	unknown	unknown	1.25422393513407
HU	YNB	P8_A2	F12_1_HU_1	32	unknown	unknown	1.35024551635703
HU	YNB	P9_A2	F12_1_HU_2	32	unknown	unknown	1.39097840419954
HU	YNB	P9_A2	F12_1_HU_2	32	unknown	unknown	1.38732038957989
HU	YNB	P8_A3	F12_1_HU_1	32	unknown	unknown	1.15084322472192
HU	YNB	P8_A3	F12_1_HU_1	32	unknown	unknown	1.1654532709613
HU	YNB	P9_A3	F12_1_HU_2	32	unknown	unknown	1.6418336428982
HU	YNB	P9_A3	F12_1_HU_2	32	unknown	unknown	1.59746588549167
HU	YNB	P8_A4	F12_1_HU_1	32	unknown	unknown	1.65538240268906
HU	YNB	P8_A4	F12_1_HU_1	32	unknown	unknown	1.69498365212909
HU	YNB	P9_A4	F12_1_HU_2	32	unknown	unknown	1.61309689002966
HU	YNB	P9_A4	F12_1_HU_2	32	unknown	unknown	1.56445290032729
HU	YNB	P8_A5	F12_1_HU_1	32	unknown	unknown	2.17920611202196
HU	YNB	P8_A5	F12_1_HU_1	32	unknown	unknown	2.08166457599496
HU	YNB	P9_A5	F12_1_HU_2	32	unknown	unknown	1.35106013784971
HU	YNB	P9_A5	F12_1_HU_2	32	unknown	unknown	1.38973276328621
HU	YNB	P8_A6	F12_1_HU_1	32	unknown	unknown	1.49155493437226
HU	YNB	P8_A6	F12_1_HU_1	32	unknown	unknown	1.51912703339647
HU	YNB	P9_A6	F12_1_HU_2	32	unknown	unknown	1.45822071947345
HU	YNB	P9_A6	F12_1_HU_2	32	unknown	unknown	1.47155036983403
HU	YNB	P8_A7	F12_1_HU_1	32	unknown	unknown	1.63611649056563
HU	YNB	P8_A7	F12_1_HU_1	32	unknown	unknown	1.64922769360468
HU	YNB	P9_A7	F12_1_HU_2	32	unknown	unknown	1.82191718979636
HU	YNB	P9_A7	F12_1_HU_2	32	unknown	unknown	1.86355421930679
HU	YNB	P8_A8	F12_1_HU_1	32	unknown	unknown	1.73675597990989
HU	YNB	P8_A8	F12_1_HU_1	32	unknown	unknown	1.75045331929153
HU	YNB	P9_A8	F12_1_HU_2	32	unknown	unknown	2.13753280340836
HU	YNB	P9_A8	F12_1_HU_2	32	unknown	unknown	2.16466438995186
HU	YNB	P8_A9	F12_1_HU_1	32	unknown	unknown	1.26085220734747
HU	YNB	P8_A9	F12_1_HU_1	32	unknown	unknown	1.37885076924671
HU	YNB	P9_A9	F12_1_HU_2	32	unknown	unknown	1.42078131839512
HU	YNB	P9_A9	F12_1_HU_2	32	unknown	unknown	1.28941955779069
HU	YNB	P8_A10	F12_1_HU_1	32	unknown	unknown	1.27034460806575
HU	YNB	P8_A10	F12_1_HU_1	32	unknown	unknown	1.39228109047045
HU	YNB	P9_A10	F12_1_HU_2	32	unknown	unknown	1.80070231868223
HU	YNB	P9_A10	F12_1_HU_2	32	unknown	unknown	1.7658542383977
HU	YNB	P8_A11	F12_1_HU_1	32	unknown	unknown	1.61139041355101
HU	YNB	P8_A11	F12_1_HU_1	32	unknown	unknown	1.65821443107543
HU	YNB	P9_A11	F12_1_HU_2	32	unknown	unknown	1.27433916013893
HU	YNB	P9_A11	F12_1_HU_2	32	unknown	unknown	1.18336379934412
HU	YNB	P8_A12	F12_1_HU_1	32	unknown	unknown	1.38370533127298
HU	YNB	P8_A12	F12_1_HU_1	32	unknown	unknown	1.40131026842079
HU	YNB	P9_A12	F12_1_HU_2	32	unknown	unknown	1.81197323992347
HU	YNB	P9_A12	F12_1_HU_2	32	unknown	unknown	1.73036590173652
MO	YNB	P1_A1	F12_1_MO_1	0	unknown	unknown	1.47766392721078
MO	YNB	P2_A1	F12_1_MO_1	0	unknown	unknown	1.49305905484045
MO	YNB	P1_A2	F12_1_MO_1	0	unknown	unknown	1.45576968723127
MO	YNB	P2_A2	F12_1_MO_1	0	unknown	unknown	1.51346794354434
MO	YNB	P1_A3	F12_1_MO_1	0	unknown	unknown	1.3810199258816
MO	YNB	P2_A3	F12_1_MO_1	0	unknown	unknown	1.82301634489289
MO	YNB	P1_A4	F12_1_MO_1	0	unknown	unknown	1.90453265817324
MO	YNB	P2_A4	F12_1_MO_1	0	unknown	unknown	1.65370841542774
MO	YNB	P1_A5	F12_1_MO_1	0	unknown	unknown	1.56506866466415
MO	YNB	P2_A5	F12_1_MO_1	0	unknown	unknown	1.77886507352279
MO	YNB	P1_A6	F12_1_MO_1	0	unknown	unknown	1.69121301714009
MO	YNB	P2_A6	F12_1_MO_1	0	unknown	unknown	1.58224653232903
MO	YNB	P1_A7	F12_1_MO_1	0	unknown	unknown	1.69066827867345
MO	YNB	P2_A7	F12_1_MO_1	0	unknown	unknown	1.88554198959306
MO	YNB	P1_A8	F12_1_MO_1	0	unknown	unknown	1.68249430656283
MO	YNB	P2_A8	F12_1_MO_1	0	unknown	unknown	1.61469899154244
MO	YNB	P1_A9	F12_1_MO_1	0	unknown	unknown	1.88843674212261
MO	YNB	P2_A9	F12_1_MO_1	0	unknown	unknown	1.7125778759818
MO	YNB	P1_A10	F12_1_MO_1	0	unknown	unknown	1.73396310230828
MO	YNB	P2_A10	F12_1_MO_1	0	unknown	unknown	1.4159618867479
MO	YNB	P1_A11	F12_1_MO_1	0	unknown	unknown	1.79944824244131
MO	YNB	P2_A11	F12_1_MO_1	0	unknown	unknown	1.58432336764939
MO	YNB	P1_A12	F12_1_MO_1	0	unknown	unknown	1.6858413039888
MO	YNB	P2_A12	F12_1_MO_1	0	unknown	unknown	2.23291640601703
HU	YNB	P10_A1	F12_2_HU_2	32	unknown	unknown	1.39158078892521
HU	YNB	P10_A1	F12_2_HU_2	32	unknown	unknown	1.45115317863149
HU	YNB	P11_A1	F12_2_HU_3	32	unknown	unknown	1.45674373509811
HU	YNB	P11_A1	F12_2_HU_3	32	unknown	unknown	1.45776837704285
HU	YNB	P10_A2	F12_2_HU_2	32	unknown	unknown	1.46845468327882
HU	YNB	P10_A2	F12_2_HU_2	32	unknown	unknown	1.49136088844597
HU	YNB	P11_A2	F12_2_HU_3	32	unknown	unknown	1.48065326506333
HU	YNB	P11_A2	F12_2_HU_3	32	unknown	unknown	1.52284288186183
HU	YNB	P10_A3	F12_2_HU_2	32	unknown	unknown	1.6116638288021
HU	YNB	P10_A3	F12_2_HU_2	32	unknown	unknown	1.6053075134079
HU	YNB	P11_A3	F12_2_HU_3	32	unknown	unknown	1.5619716949954
HU	YNB	P11_A3	F12_2_HU_3	32	unknown	unknown	1.54487057250909
HU	YNB	P10_A4	F12_2_HU_2	32	unknown	unknown	1.61729585549584
HU	YNB	P10_A4	F12_2_HU_2	32	unknown	unknown	1.630144423809
HU	YNB	P11_A4	F12_2_HU_3	32	unknown	unknown	1.52338616111641
HU	YNB	P11_A4	F12_2_HU_3	32	unknown	unknown	1.56778772449597
HU	YNB	P10_A5	F12_2_HU_2	32	unknown	unknown	1.66926785033888
HU	YNB	P10_A5	F12_2_HU_2	32	unknown	unknown	1.67001224928579
HU	YNB	P11_A5	F12_2_HU_3	32	unknown	unknown	1.30531505700667
HU	YNB	P11_A5	F12_2_HU_3	32	unknown	unknown	1.25616947250589
HU	YNB	P10_A6	F12_2_HU_2	32	unknown	unknown	1.54557210147752
HU	YNB	P10_A6	F12_2_HU_2	32	unknown	unknown	1.54107269008301
HU	YNB	P11_A6	F12_2_HU_3	32	unknown	unknown	1.54980629755826
HU	YNB	P11_A6	F12_2_HU_3	32	unknown	unknown	1.5469742121015
HU	YNB	P10_A7	F12_2_HU_2	32	unknown	unknown	1.72221112632324
HU	YNB	P10_A7	F12_2_HU_2	32	unknown	unknown	1.73600804374205
HU	YNB	P11_A7	F12_2_HU_3	32	unknown	unknown	1.60825725425122
HU	YNB	P11_A7	F12_2_HU_3	32	unknown	unknown	1.63162711685541
HU	YNB	P10_A8	F12_2_HU_2	32	unknown	unknown	1.41705337320114
HU	YNB	P10_A8	F12_2_HU_2	32	unknown	unknown	1.43737345523455
HU	YNB	P11_A8	F12_2_HU_3	32	unknown	unknown	1.47594966168795
HU	YNB	P11_A8	F12_2_HU_3	32	unknown	unknown	1.48244751059515
HU	YNB	P10_A9	F12_2_HU_2	32	unknown	unknown	1.62817511166362
HU	YNB	P10_A9	F12_2_HU_2	32	unknown	unknown	1.61003207843597
HU	YNB	P11_A9	F12_2_HU_3	32	unknown	unknown	1.5920558529426
HU	YNB	P11_A9	F12_2_HU_3	32	unknown	unknown	1.59545740339512
HU	YNB	P10_A10	F12_2_HU_2	32	unknown	unknown	1.84712556124802
HU	YNB	P10_A10	F12_2_HU_2	32	unknown	unknown	1.86255417023144
HU	YNB	P11_A10	F12_2_HU_3	32	unknown	unknown	1.57401644127487
HU	YNB	P11_A10	F12_2_HU_3	32	unknown	unknown	1.60011378308858
HU	YNB	P10_A11	F12_2_HU_2	32	unknown	unknown	1.74780561504175
HU	YNB	P10_A11	F12_2_HU_2	32	unknown	unknown	1.79620080665817
HU	YNB	P11_A11	F12_2_HU_3	32	unknown	unknown	1.56214256222747
HU	YNB	P11_A11	F12_2_HU_3	32	unknown	unknown	1.62347215694901
HU	YNB	P10_A12	F12_2_HU_2	32	unknown	unknown	1.72118841876283
HU	YNB	P10_A12	F12_2_HU_2	32	unknown	unknown	1.71110375317983
HU	YNB	P11_A12	F12_2_HU_3	32	unknown	unknown	1.69443024237303
HU	YNB	P11_A12	F12_2_HU_3	32	unknown	unknown	1.73906814061476
MO	YNB	P3_A1	F12_2_MO_1	0	unknown	unknown	1.44821123344556
MO	YNB	P4_A1	F12_2_MO_1	0	unknown	unknown	1.58094420075457
MO	YNB	P3_A2	F12_2_MO_1	0	unknown	unknown	1.72403910431766
MO	YNB	P4_A2	F12_2_MO_1	0	unknown	unknown	1.51871754473233
MO	YNB	P3_A3	F12_2_MO_1	0	unknown	unknown	1.6714080015933
MO	YNB	P4_A3	F12_2_MO_1	0	unknown	unknown	1.68767896498467
MO	YNB	P3_A4	F12_2_MO_1	0	unknown	unknown	1.78060459239792
MO	YNB	P4_A4	F12_2_MO_1	0	unknown	unknown	1.63884522696126
MO	YNB	P3_A5	F12_2_MO_1	0	unknown	unknown	1.64375336807193
MO	YNB	P4_A5	F12_2_MO_1	0	unknown	unknown	1.75327432206114
MO	YNB	P3_A6	F12_2_MO_1	0	unknown	unknown	1.55074874783906
MO	YNB	P4_A6	F12_2_MO_1	0	unknown	unknown	1.5532333539089
MO	YNB	P3_A7	F12_2_MO_1	0	unknown	unknown	1.63806980551102
MO	YNB	P4_A7	F12_2_MO_1	0	unknown	unknown	1.63726916232064
MO	YNB	P3_A8	F12_2_MO_1	0	unknown	unknown	1.55692076053138
MO	YNB	P4_A8	F12_2_MO_1	0	unknown	unknown	1.54498376306275
MO	YNB	P3_A9	F12_2_MO_1	0	unknown	unknown	1.66899549242531
MO	YNB	P4_A9	F12_2_MO_1	0	unknown	unknown	1.69687886883718
MO	YNB	P3_A10	F12_2_MO_1	0	unknown	unknown	1.69635290001922
MO	YNB	P4_A10	F12_2_MO_1	0	unknown	unknown	1.72049019763646
MO	YNB	P3_A11	F12_2_MO_1	0	unknown	unknown	1.7009572894378
MO	YNB	P4_A11	F12_2_MO_1	0	unknown	unknown	1.70522742998375
MO	YNB	P3_A12	F12_2_MO_1	0	unknown	unknown	1.14860949312882
MO	YNB	P4_A12	F12_2_MO_1	0	unknown	unknown	1.71424573043756
HU	YNB	P8_B1	F12_1_HU_1	32	unknown	unknown	1.07100995512059
HU	YNB	P8_B1	F12_1_HU_1	32	unknown	unknown	NA
HU	YNB	P9_B1	F12_1_HU_2	32	unknown	unknown	1.27790785887183
HU	YNB	P9_B1	F12_1_HU_2	32	unknown	unknown	1.19356068992126
HU	YNB	P8_B2	F12_1_HU_1	32	unknown	unknown	1.43066952360029
HU	YNB	P8_B2	F12_1_HU_1	32	unknown	unknown	1.42938406381013
HU	YNB	P9_B2	F12_1_HU_2	32	unknown	unknown	1.50508501543316
HU	YNB	P9_B2	F12_1_HU_2	32	unknown	unknown	1.38533317338121
HU	YNB	P8_B3	F12_1_HU_1	32	unknown	unknown	1.76975900995756
HU	YNB	P8_B3	F12_1_HU_1	32	unknown	unknown	1.78132755174353
HU	YNB	P9_B3	F12_1_HU_2	32	unknown	unknown	1.38712635940295
HU	YNB	P9_B3	F12_1_HU_2	32	unknown	unknown	1.27447447144499
HU	YNB	P8_B4	F12_1_HU_1	32	unknown	unknown	1.4494045904151
HU	YNB	P8_B4	F12_1_HU_1	32	unknown	unknown	1.48500793376801
HU	YNB	P9_B4	F12_1_HU_2	32	unknown	unknown	1.33753634075783
HU	YNB	P9_B4	F12_1_HU_2	32	unknown	unknown	1.37085394453768
HU	YNB	P8_B5	F12_1_HU_1	32	unknown	unknown	1.59558380908727
HU	YNB	P8_B5	F12_1_HU_1	32	unknown	unknown	1.6173659301889
HU	YNB	P9_B5	F12_1_HU_2	32	unknown	unknown	1.51639538586102
HU	YNB	P9_B5	F12_1_HU_2	32	unknown	unknown	1.50078941111041
HU	YNB	P8_B6	F12_1_HU_1	32	unknown	unknown	1.22845769288128
HU	YNB	P8_B6	F12_1_HU_1	32	unknown	unknown	1.20169333011077
HU	YNB	P9_B6	F12_1_HU_2	32	unknown	unknown	1.5698698160143
HU	YNB	P9_B6	F12_1_HU_2	32	unknown	unknown	1.59822295171495
HU	YNB	P8_B7	F12_1_HU_1	32	unknown	unknown	NA
HU	YNB	P8_B7	F12_1_HU_1	32	unknown	unknown	1.50456016262875
HU	YNB	P9_B7	F12_1_HU_2	32	unknown	unknown	1.63262430484346
HU	YNB	P9_B7	F12_1_HU_2	32	unknown	unknown	1.62625294118483
HU	YNB	P8_B8	F12_1_HU_1	32	unknown	unknown	1.62094851807082
HU	YNB	P8_B8	F12_1_HU_1	32	unknown	unknown	1.84926055873558
HU	YNB	P9_B8	F12_1_HU_2	32	unknown	unknown	1.62920697404459
HU	YNB	P9_B8	F12_1_HU_2	32	unknown	unknown	1.61313652274159
HU	YNB	P8_B9	F12_1_HU_1	32	unknown	unknown	1.8029649370675
HU	YNB	P8_B9	F12_1_HU_1	32	unknown	unknown	1.77364288771287
HU	YNB	P9_B9	F12_1_HU_2	32	unknown	unknown	1.89967363477888
HU	YNB	P9_B9	F12_1_HU_2	32	unknown	unknown	1.88227562907395
HU	YNB	P8_B10	F12_1_HU_1	32	unknown	unknown	1.65973217020974
HU	YNB	P8_B10	F12_1_HU_1	32	unknown	unknown	1.63178592805488
HU	YNB	P9_B10	F12_1_HU_2	32	unknown	unknown	1.24969772584906
HU	YNB	P9_B10	F12_1_HU_2	32	unknown	unknown	1.15625859447554
HU	YNB	P8_B11	F12_1_HU_1	32	unknown	unknown	1.59184408545214
HU	YNB	P8_B11	F12_1_HU_1	32	unknown	unknown	1.57953584743742
HU	YNB	P9_B11	F12_1_HU_2	32	unknown	unknown	1.44782232231052
HU	YNB	P9_B11	F12_1_HU_2	32	unknown	unknown	1.42704709843279
HU	YNB	P8_B12	F12_1_HU_1	32	unknown	unknown	1.61251841573091
HU	YNB	P8_B12	F12_1_HU_1	32	unknown	unknown	1.6999623847518
HU	YNB	P9_B12	F12_1_HU_2	32	unknown	unknown	1.68709749601339
HU	YNB	P9_B12	F12_1_HU_2	32	unknown	unknown	1.59023002620221
MO	YNB	P1_B1	F12_1_MO_1	0	unknown	unknown	1.51432614655736
MO	YNB	P2_B1	F12_1_MO_1	0	unknown	unknown	1.72037950863108
MO	YNB	P1_B2	F12_1_MO_1	0	unknown	unknown	1.69143787532361
MO	YNB	P2_B2	F12_1_MO_1	0	unknown	unknown	1.64208773082304
MO	YNB	P1_B3	F12_1_MO_1	0	unknown	unknown	1.83166683942241
MO	YNB	P2_B3	F12_1_MO_1	0	unknown	unknown	1.79433128544377
MO	YNB	P1_B4	F12_1_MO_1	0	unknown	unknown	1.63403781548441
MO	YNB	P2_B4	F12_1_MO_1	0	unknown	unknown	1.78431816935576
MO	YNB	P1_B5	F12_1_MO_1	0	unknown	unknown	1.46719250370703
MO	YNB	P2_B5	F12_1_MO_1	0	unknown	unknown	1.61404506698572
MO	YNB	P1_B6	F12_1_MO_1	0	unknown	unknown	1.76609788436892
MO	YNB	P2_B6	F12_1_MO_1	0	unknown	unknown	1.69818696367484
MO	YNB	P1_B7	F12_1_MO_1	0	unknown	unknown	1.61160543548831
MO	YNB	P2_B7	F12_1_MO_1	0	unknown	unknown	1.66649823540231
MO	YNB	P1_B8	F12_1_MO_1	0	unknown	unknown	1.69705880318511
MO	YNB	P2_B8	F12_1_MO_1	0	unknown	unknown	1.64820759532807
MO	YNB	P1_B9	F12_1_MO_1	0	unknown	unknown	1.50831324058427
MO	YNB	P2_B9	F12_1_MO_1	0	unknown	unknown	1.69707970220309
MO	YNB	P1_B10	F12_1_MO_1	0	unknown	unknown	1.7504624477442
MO	YNB	P2_B10	F12_1_MO_1	0	unknown	unknown	1.69644362912858
MO	YNB	P1_B11	F12_1_MO_1	0	unknown	unknown	1.58243959985008
MO	YNB	P2_B11	F12_1_MO_1	0	unknown	unknown	1.85560066903246
MO	YNB	P1_B12	F12_1_MO_1	0	unknown	unknown	1.75186103412624
MO	YNB	P2_B12	F12_1_MO_1	0	unknown	unknown	2.139807007981
HU	YNB	P10_B1	F12_2_HU_2	32	unknown	unknown	1.72331831511858
HU	YNB	P10_B1	F12_2_HU_2	32	unknown	unknown	1.7209220539534
HU	YNB	P11_B1	F12_2_HU_3	32	unknown	unknown	1.3247136868832
HU	YNB	P11_B1	F12_2_HU_3	32	unknown	unknown	NA
HU	YNB	P10_B2	F12_2_HU_2	32	unknown	unknown	1.79038264160298
HU	YNB	P10_B2	F12_2_HU_2	32	unknown	unknown	1.76165880202865
HU	YNB	P11_B2	F12_2_HU_3	32	unknown	unknown	1.48118640206539
HU	YNB	P11_B2	F12_2_HU_3	32	unknown	unknown	1.47682994740314
HU	YNB	P10_B3	F12_2_HU_2	32	unknown	unknown	1.56378123722329
HU	YNB	P10_B3	F12_2_HU_2	32	unknown	unknown	1.58424369580366
HU	YNB	P11_B3	F12_2_HU_3	32	unknown	unknown	1.56505789780863
HU	YNB	P11_B3	F12_2_HU_3	32	unknown	unknown	1.52550684549065
HU	YNB	P10_B4	F12_2_HU_2	32	unknown	unknown	1.64590935996732
HU	YNB	P10_B4	F12_2_HU_2	32	unknown	unknown	1.64001812750119
HU	YNB	P11_B4	F12_2_HU_3	32	unknown	unknown	1.53674819702662
HU	YNB	P11_B4	F12_2_HU_3	32	unknown	unknown	1.55433126753611
HU	YNB	P10_B5	F12_2_HU_2	32	unknown	unknown	1.62493380437386
HU	YNB	P10_B5	F12_2_HU_2	32	unknown	unknown	1.67171987681452
HU	YNB	P11_B5	F12_2_HU_3	32	unknown	unknown	1.56688808353036
HU	YNB	P11_B5	F12_2_HU_3	32	unknown	unknown	1.556894651053
HU	YNB	P10_B6	F12_2_HU_2	32	unknown	unknown	1.39311410360633
HU	YNB	P10_B6	F12_2_HU_2	32	unknown	unknown	1.13837249059529
HU	YNB	P11_B6	F12_2_HU_3	32	unknown	unknown	1.6333244867014
HU	YNB	P11_B6	F12_2_HU_3	32	unknown	unknown	1.60082677386458
HU	YNB	P10_B7	F12_2_HU_2	32	unknown	unknown	1.68638041736668
HU	YNB	P10_B7	F12_2_HU_2	32	unknown	unknown	1.66583490022624
HU	YNB	P11_B7	F12_2_HU_3	32	unknown	unknown	1.80811948738882
HU	YNB	P11_B7	F12_2_HU_3	32	unknown	unknown	1.81474855393413
HU	YNB	P10_B8	F12_2_HU_2	32	unknown	unknown	1.64320504817884
HU	YNB	P10_B8	F12_2_HU_2	32	unknown	unknown	1.64056340824937
HU	YNB	P11_B8	F12_2_HU_3	32	unknown	unknown	1.59572983887571
HU	YNB	P11_B8	F12_2_HU_3	32	unknown	unknown	1.58337680602375
HU	YNB	P10_B9	F12_2_HU_2	32	unknown	unknown	1.70478156917669
HU	YNB	P10_B9	F12_2_HU_2	32	unknown	unknown	1.7177338754706
HU	YNB	P11_B9	F12_2_HU_3	32	unknown	unknown	1.58583733619097
HU	YNB	P11_B9	F12_2_HU_3	32	unknown	unknown	1.58786920177684
HU	YNB	P10_B10	F12_2_HU_2	32	unknown	unknown	1.85397657463976
HU	YNB	P10_B10	F12_2_HU_2	32	unknown	unknown	1.84546708181677
HU	YNB	P11_B10	F12_2_HU_3	32	unknown	unknown	1.74998290972167
HU	YNB	P11_B10	F12_2_HU_3	32	unknown	unknown	1.7462198846945
HU	YNB	P10_B11	F12_2_HU_2	32	unknown	unknown	1.52621672692782
HU	YNB	P10_B11	F12_2_HU_2	32	unknown	unknown	1.52632863411097
HU	YNB	P11_B11	F12_2_HU_3	32	unknown	unknown	1.34189999138926
HU	YNB	P11_B11	F12_2_HU_3	32	unknown	unknown	1.35674007734421
HU	YNB	P10_B12	F12_2_HU_2	32	unknown	unknown	1.78787955240814
HU	YNB	P10_B12	F12_2_HU_2	32	unknown	unknown	1.75485614961557
HU	YNB	P11_B12	F12_2_HU_3	32	unknown	unknown	1.57789241287286
HU	YNB	P11_B12	F12_2_HU_3	32	unknown	unknown	1.59171056433356
MO	YNB	P3_B1	F12_2_MO_1	0	unknown	unknown	1.63538992095815
MO	YNB	P4_B1	F12_2_MO_1	0	unknown	unknown	1.76020057259614
MO	YNB	P3_B2	F12_2_MO_1	0	unknown	unknown	1.72135034184419
MO	YNB	P4_B2	F12_2_MO_1	0	unknown	unknown	1.62299072409896
MO	YNB	P3_B3	F12_2_MO_1	0	unknown	unknown	1.68428293611688
MO	YNB	P4_B3	F12_2_MO_1	0	unknown	unknown	1.62697431222081
MO	YNB	P3_B4	F12_2_MO_1	0	unknown	unknown	1.69611625670301
MO	YNB	P4_B4	F12_2_MO_1	0	unknown	unknown	1.55261420203441
MO	YNB	P3_B5	F12_2_MO_1	0	unknown	unknown	1.7228283656967
MO	YNB	P4_B5	F12_2_MO_1	0	unknown	unknown	1.83846814440495
MO	YNB	P3_B6	F12_2_MO_1	0	unknown	unknown	1.51061538420812
MO	YNB	P4_B6	F12_2_MO_1	0	unknown	unknown	1.64726411388649
MO	YNB	P3_B7	F12_2_MO_1	0	unknown	unknown	1.62362879244471
MO	YNB	P4_B7	F12_2_MO_1	0	unknown	unknown	1.70392568830216
MO	YNB	P3_B8	F12_2_MO_1	0	unknown	unknown	1.73747186786912
MO	YNB	P4_B8	F12_2_MO_1	0	unknown	unknown	1.56461882292844
MO	YNB	P3_B9	F12_2_MO_1	0	unknown	unknown	1.71998762288391
MO	YNB	P4_B9	F12_2_MO_1	0	unknown	unknown	1.66479492199707
MO	YNB	P3_B10	F12_2_MO_1	0	unknown	unknown	1.83174453545573
MO	YNB	P4_B10	F12_2_MO_1	0	unknown	unknown	1.93170498986568
MO	YNB	P3_B11	F12_2_MO_1	0	unknown	unknown	1.91094147804776
MO	YNB	P4_B11	F12_2_MO_1	0	unknown	unknown	1.63553575034786
MO	YNB	P3_B12	F12_2_MO_1	0	unknown	unknown	1.81756589456151
MO	YNB	P4_B12	F12_2_MO_1	0	unknown	unknown	1.59704868120818
HU	YNB	P8_C1	F12_1_HU_1	32	unknown	unknown	1.64487190936872
HU	YNB	P8_C1	F12_1_HU_1	32	unknown	unknown	1.62795049822514
HU	YNB	P9_C1	F12_1_HU_2	32	unknown	unknown	1.52269653652753
HU	YNB	P9_C1	F12_1_HU_2	32	unknown	unknown	1.64194878149503
HU	YNB	P8_C2	F12_1_HU_1	32	unknown	unknown	1.61114228388046
HU	YNB	P8_C2	F12_1_HU_1	32	unknown	unknown	1.64439891506568
HU	YNB	P9_C2	F12_1_HU_2	32	unknown	unknown	1.59330347612461
HU	YNB	P9_C2	F12_1_HU_2	32	unknown	unknown	1.66674368281002
HU	YNB	P8_C3	F12_1_HU_1	32	unknown	unknown	1.11501119176026
HU	YNB	P8_C3	F12_1_HU_1	32	unknown	unknown	1.17236434264585
HU	YNB	P9_C3	F12_1_HU_2	32	unknown	unknown	1.62630788879538
HU	YNB	P9_C3	F12_1_HU_2	32	unknown	unknown	1.58021413231147
HU	YNB	P8_C4	F12_1_HU_1	32	unknown	unknown	2.08768989264295
HU	YNB	P8_C4	F12_1_HU_1	32	unknown	unknown	2.13952096352872
HU	YNB	P9_C4	F12_1_HU_2	32	unknown	unknown	1.7146333445061
HU	YNB	P9_C4	F12_1_HU_2	32	unknown	unknown	1.66157528456486
HU	YNB	P8_C5	F12_1_HU_1	32	unknown	unknown	2.00109959298798
HU	YNB	P8_C5	F12_1_HU_1	32	unknown	unknown	1.99425214339426
HU	YNB	P9_C5	F12_1_HU_2	32	unknown	unknown	1.48226552881334
HU	YNB	P9_C5	F12_1_HU_2	32	unknown	unknown	1.53673173947454
HU	YNB	P8_C6	F12_1_HU_1	32	unknown	unknown	1.74482770024987
HU	YNB	P8_C6	F12_1_HU_1	32	unknown	unknown	1.72543281646668
HU	YNB	P9_C6	F12_1_HU_2	32	unknown	unknown	1.67551008705282
HU	YNB	P9_C6	F12_1_HU_2	32	unknown	unknown	1.65513401420888
HU	YNB	P8_C7	F12_1_HU_1	32	unknown	unknown	1.52194578116545
HU	YNB	P8_C7	F12_1_HU_1	32	unknown	unknown	1.54643339003492
HU	YNB	P9_C7	F12_1_HU_2	32	unknown	unknown	1.65195890935796
HU	YNB	P9_C7	F12_1_HU_2	32	unknown	unknown	1.68764146099483
HU	YNB	P8_C8	F12_1_HU_1	32	unknown	unknown	1.55856994832445
HU	YNB	P8_C8	F12_1_HU_1	32	unknown	unknown	1.55619730161927
HU	YNB	P9_C8	F12_1_HU_2	32	unknown	unknown	1.69340951695713
HU	YNB	P9_C8	F12_1_HU_2	32	unknown	unknown	1.76959573342873
HU	YNB	P8_C9	F12_1_HU_1	32	unknown	unknown	1.97371477216422
HU	YNB	P8_C9	F12_1_HU_1	32	unknown	unknown	1.95012713768663
HU	YNB	P9_C9	F12_1_HU_2	32	unknown	unknown	1.33671566125697
HU	YNB	P9_C9	F12_1_HU_2	32	unknown	unknown	1.61864308585077
HU	YNB	P8_C10	F12_1_HU_1	32	unknown	unknown	1.91089736835582
HU	YNB	P8_C10	F12_1_HU_1	32	unknown	unknown	1.85533495639739
HU	YNB	P9_C10	F12_1_HU_2	32	unknown	unknown	1.62353852253739
HU	YNB	P9_C10	F12_1_HU_2	32	unknown	unknown	1.56280312331257
HU	YNB	P8_C11	F12_1_HU_1	32	unknown	unknown	1.62504090204242
HU	YNB	P8_C11	F12_1_HU_1	32	unknown	unknown	1.67246960950657
HU	YNB	P9_C11	F12_1_HU_2	32	unknown	unknown	1.68548639498401
HU	YNB	P9_C11	F12_1_HU_2	32	unknown	unknown	1.69368119435978
HU	YNB	P8_C12	F12_1_HU_1	32	unknown	unknown	1.57866056524057
HU	YNB	P8_C12	F12_1_HU_1	32	unknown	unknown	1.59331180456123
HU	YNB	P9_C12	F12_1_HU_2	32	unknown	unknown	1.78217333140922
HU	YNB	P9_C12	F12_1_HU_2	32	unknown	unknown	1.77063308925148
MO	YNB	P1_C1	F12_1_MO_1	0	unknown	unknown	1.42823213703232
MO	YNB	P2_C1	F12_1_MO_1	0	unknown	unknown	1.72877233236619
MO	YNB	P1_C2	F12_1_MO_1	0	unknown	unknown	1.61531901349392
MO	YNB	P2_C2	F12_1_MO_1	0	unknown	unknown	1.65799082960138
